"time","measured_angle","estimated_angle","estimated_drift"
593,-8.03999,2.10842,0.777891
594,-4.62624,2.09136,0.784969
595,-2.27245,2.08065,0.789565
596,-2.89824,2.06935,0.794823
597,-7.52685,2.04467,0.804975
598,-1.55787,2.0388,0.808798
599,6.14663,2.05728,0.804442
600,9.54944,2.08629,0.796473
601,7.20567,2.10662,0.791016
602,4.66942,2.11973,0.788282
603,7.65911,2.14234,0.782352
604,17.4958,2.19566,0.765871
605,-3.35742,2.18081,0.77185
606,-5.06606,2.16268,0.779671
607,9.66419,2.19398,0.771571
608,1.21224,2.19711,0.772641
609,3.38528,2.20754,0.771358
610,0.454719,2.20888,0.773273
611,8.6011,2.23717,0.766313
612,-10.2934,2.20585,0.780012
613,-7.40488,2.18689,0.790548
614,-4.28395,2.17877,0.797662
615,-0.0711307,2.18526,0.800151
616,-4.65298,2.1784,0.807703
617,-9.98157,2.15588,0.821148
618,-10.5316,2.13369,0.835209
619,-7.16476,2.12499,0.845544
620,-8.81929,2.11246,0.857731
621,-10.1543,2.09755,0.871419
622,-8.93779,2.08872,0.883764
623,-4.8525,2.09503,0.891558
624,-5.13638,2.10164,0.899695
625,1.67811,2.12671,0.900201
626,39.915,2.26932,0.857701
627,52.9195,2.4069,0.800556
628,55.1781,2.53396,0.740877
629,41.916,2.61928,0.696236
630,118.845,2.95299,0.564313
631,-25.1443,2.84829,0.596243
632,19.7903,2.87431,0.576908
633,17.0146,2.89259,0.560733
634,13.9902,2.89682,0.548001
635,37.4437,2.97792,0.508364
636,0.561382,2.94225,0.511108
637,-27.9494,2.81672,0.546634
638,-52.8754,2.63602,0.610865
639,-45.0009,2.5196,0.66596
640,-59.3969,2.37923,0.737729
641,-56.5461,2.25943,0.806183
642,-6.13981,2.30485,0.816033
643,57.8823,2.52806,0.751338
644,74.4018,2.75985,0.667438
645,60.6033,2.91012,0.599739
646,49.7705,3.00211,0.54475
647,42.7205,3.07063,0.498038
648,-42.9533,2.87455,0.552135
649,-100.978,2.48572,0.674509
650,-39.1106,2.33475,0.723626
651,-32.3977,2.21701,0.764728
652,-54.3323,2.03927,0.831797
653,-41.6825,1.91548,0.883771
654,-25.5515,1.84646,0.916495
655,58.8289,2.04445,0.848538
656,53.7934,2.21561,0.786692
657,28.4108,2.29679,0.755318
658,35.8297,2.39059,0.715066
659,7.82931,2.39533,0.708513
660,10.0741,2.4072,0.699248
661,9.45002,2.41744,0.690733
662,-27.8464,2.30834,0.727313
663,-29.7173,2.20658,0.766112
664,-17.571,2.14946,0.790125
665,-7.86976,2.12983,0.802325
666,-15.2167,2.08468,0.823473
667,31.8597,2.19122,0.787139
668,36.0274,2.29934,0.745756
669,16.914,2.33976,0.72784
670,12.7285,2.35927,0.715069
671,33.1146,2.43952,0.677218
672,-14.2255,2.36327,0.697726
673,-19.1285,2.27795,0.724239
674,-15.8232,2.20678,0.746612
675,-16.0443,2.13484,0.769212
676,-23.2777,2.04329,0.80075
677,-18.8923,1.97031,0.826783
678,-15.3987,1.91003,0.848421
679,0.637815,1.90236,0.850005
680,1.2053,1.89398,0.850869
681,3.79139,1.89359,0.848483
682,3.80925,1.89284,0.846069
683,1.11017,1.8843,0.847046
684,2.07273,1.87842,0.846801
685,-0.604483,1.86378,0.849926
686,-5.11401,1.83508,0.858742
687,-5.85238,1.80622,0.868475
688,-2.69694,1.79041,0.874188
689,-1.06633,1.78026,0.877819
690,3.65731,1.7853,0.875427
691,9.79515,1.81022,0.865206
692,13.2394,1.84374,0.850591
693,12.4663,1.87248,0.836981
694,4.05615,1.87352,0.834172
695,0.63635,1.86364,0.835755
696,-6.53687,1.83206,0.846564
697,-5.78632,1.80598,0.856388
698,-6.66259,1.77854,0.867329
699,-5.26551,1.75648,0.876447
700,0.735307,1.75556,0.877775
701,3.01279,1.76267,0.876146
702,-1.56603,1.75412,0.88048
703,4.4376,1.76716,0.876988
704,11.2631,1.80177,0.864594
705,4.70902,1.81026,0.86079
706,0.727636,1.80604,0.862207
707,14.5164,1.8441,0.84552
708,-2.36557,1.82494,0.851048
709,-3.39185,1.80392,0.857914
710,-5.34409,1.77554,0.867338
711,-7.38055,1.74305,0.879435
712,-8.20827,1.71079,0.89261
713,-1.66687,1.70039,0.897091
714,-7.96895,1.66939,0.909937
715,4.32389,1.67949,0.906406
716,-3.91206,1.65949,0.913858
717,4.21271,1.66637,0.910446
718,-4.28725,1.64458,0.918406
719,4.03648,1.64924,0.915197
720,-1.33748,1.63534,0.9192
721,-7.33669,1.60304,0.931258
722,-5.43857,1.57911,0.940739
723,0.317755,1.57439,0.94244
724,-9.94883,1.53507,0.958007
725,-7.7424,1.50574,0.970564
726,-3.6639,1.49072,0.977575
727,-5.71468,1.46727,0.98736
728,-7.82832,1.43706,1
729,0.352777,1.4342,1.00148
730,-7.03465,1.40705,1.01304
731,-6.17224,1.38481,1.0234
732,-4.52378,1.36669,1.0315
733,-7.49694,1.33844,1.04365
734,-1.67992,1.33065,1.0478
735,-7.70895,1.30273,1.06024
736,-6.31549,1.27979,1.07075
737,-0.379576,1.27731,1.07304
738,-6.26447,1.25478,1.08347
739,-2.93991,1.24311,1.08928
740,-9.33731,1.21106,1.10397
741,-2.99414,1.2005,1.10981
742,-0.132068,1.19833,1.11167
743,-5.1907,1.17943,1.12058
744,-5.2352,1.16029,1.12954
745,-2.32939,1.15076,1.13442
746,-5.15574,1.13207,1.14326
747,-2.21046,1.124,1.14795
748,-8.33129,1.09574,1.16124
749,-3.69932,1.08476,1.168
750,-5.93777,1.06516,1.1779
751,1.8997,1.07269,1.17673
752,-5.38584,1.05506,1.18587
753,4.20466,1.0698,1.18141
754,-0.23796,1.06706,1.18327
755,2.19681,1.07326,1.18167
756,-3.35062,1.06127,1.18797
757,-6.17133,1.04136,1.19828
758,-8.29341,1.01335,1.21161
759,-4.21486,1.00136,1.21909
760,-5.53561,0.985975,1.22846
761,-4.02335,0.975743,1.23566
762,2.37348,0.985782,1.23366
763,6.12409,1.00826,1.22627
764,3.60782,1.02058,1.22253
765,1.64151,1.02568,1.22164
766,-0.973772,1.02214,1.22453
767,-12.3404,0.980942,1.24388
